NOMENCLATURE2;AGPR;COEFF_BUDG
01;1;10.5
011;1;9.1
012;1;0.9
013;1;0.4
02;1;2.9
021;1;1.0
022;1;1.8
024;1;0.0
03;1;6.2
031;1;4.3
032;1;1.4
033;1;0.5
04;1;25.7
041;1;18.4
043;1;0.9
044;1;2.8
045;1;3.3
046;1;0.3
05;1;3.6
051;1;1.5
052;1;0.1
053;1;0.9
054;1;0.3
055;1;0.2
056;1;0.6
057;1;0.1
06;1;1.5
061;1;0.7
062;1;0.7
063;1;0.0
064;1;0.0
07;1;16.0
071;1;5.0
072;1;6.6
073;1;3.4
074;1;1.1
08;1;3.6
081;1;3.6
09;1;8.7
091;1;1.8
092;1;0.1
093;1;1.7
094;1;2.9
095;1;0.9
096;1;0.6
097;1;0.7
10;1;2.7
101;1;2.7
11;1;8.7
111;1;8.0
112;1;0.8
12;1;9.9
121;1;2.2
123;1;0.5
124;1;0.3
125;1;5.0
126;1;0.4
127;1;1.2
128;1;0.1
129;1;0.0
CTOTALE;1;100.0
01;2;11.7
011;2;10.1
012;2;1.0
013;2;0.5
02;2;2.6
021;2;0.9
022;2;1.7
024;2;0.0
03;2;6.2
031;2;4.4
032;2;1.3
033;2;0.5
04;2;18.1
041;2;11.6
043;2;0.3
044;2;2.7
045;2;3.4
046;2;0.1
05;2;5.1
051;2;2.0
052;2;0.2
053;2;0.8
054;2;0.3
055;2;0.6
056;2;1.1
057;2;0.1
06;2;1.6
061;2;0.8
062;2;0.7
063;2;0.1
064;2;0.0
07;2;17.2
071;2;7.0
072;2;6.2
073;2;2.6
074;2;1.5
08;2;2.8
081;2;2.8
09;2;9.5
091;2;1.2
092;2;0.1
093;2;1.9
094;2;3.7
095;2;0.7
096;2;1.0
097;2;0.9
10;2;0.3
101;2;0.3
11;2;8.4
111;2;7.3
112;2;1.0
12;2;16.6
121;2;2.6
123;2;0.7
124;2;3.1
125;2;6.1
126;2;0.5
127;2;3.4
128;2;0.1
129;2;0.0
CTOTALE;2;100.0
01;3;15.0
011;3;13.1
012;3;1.3
013;3;0.6
02;3;2.7
021;3;1.1
022;3;1.6
024;3;0.0
03;3;5.9
031;3;4.1
032;3;1.4
033;3;0.4
04;3;15.1
041;3;7.3
043;3;0.6
044;3;2.8
045;3;4.2
046;3;0.1
05;3;5.1
051;3;1.6
052;3;0.3
053;3;0.7
054;3;0.3
055;3;0.6
056;3;1.6
057;3;0.1
06;3;1.8
061;3;0.8
062;3;0.8
063;3;0.1
064;3;0.0
07;3;16.4
071;3;6.9
072;3;6.3
073;3;1.9
074;3;1.4
08;3;2.7
081;3;2.7
09;3;9.8
091;3;0.9
092;3;0.2
093;3;2.0
094;3;3.4
095;3;1.0
096;3;1.3
097;3;1.0
10;3;0.7
101;3;0.7
11;3;9.0
111;3;7.4
112;3;1.7
12;3;15.8
121;3;2.7
123;3;0.7
124;3;2.3
125;3;6.7
126;3;0.5
127;3;2.7
128;3;0.1
129;3;0.0
CTOTALE;3;100.0
01;4;15.9
011;4;14.0
012;4;1.3
013;4;0.6
02;4;3.1
021;4;1.4
022;4;1.7
024;4;0.0
03;4;5.4
031;4;3.8
032;4;1.1
033;4;0.5
04;4;14.7
041;4;6.5
043;4;0.6
044;4;2.7
045;4;4.6
046;4;0.3
05;4;5.2
051;4;1.5
052;4;0.4
053;4;0.6
054;4;0.3
055;4;0.5
056;4;1.7
057;4;0.2
06;4;1.9
061;4;0.9
062;4;0.9
063;4;0.1
064;4;0.1
07;4;17.9
071;4;7.8
072;4;6.6
073;4;2.2
074;4;1.3
08;4;2.8
081;4;2.8
09;4;9.4
091;4;1.1
092;4;0.4
093;4;1.6
094;4;3.1
095;4;1.0
096;4;1.5
097;4;0.8
10;4;1.7
101;4;1.7
11;4;8.2
111;4;6.7
112;4;1.5
12;4;13.8
121;4;2.8
123;4;0.7
124;4;0.4
125;4;7.7
126;4;0.6
127;4;1.4
128;4;0.1
129;4;0.2
CTOTALE;4;100.0
01;5;17.6
011;5;15.6
012;5;1.3
013;5;0.7
02;5;3.4
021;5;1.8
022;5;1.5
024;5;0.0
03;5;4.7
031;5;3.1
032;5;0.9
033;5;0.7
04;5;15.0
041;5;5.6
043;5;0.6
044;5;2.9
045;5;5.4
046;5;0.5
05;5;6.1
051;5;1.6
052;5;0.3
053;5;0.7
054;5;0.4
055;5;0.9
056;5;2.0
057;5;0.3
06;5;1.9
061;5;1.0
062;5;0.8
063;5;0.1
064;5;0.1
07;5;17.3
071;5;7.5
072;5;6.5
073;5;1.8
074;5;1.5
08;5;2.6
081;5;2.6
09;5;9.1
091;5;0.8
092;5;0.5
093;5;1.5
094;5;2.6
095;5;1.3
096;5;1.6
097;5;0.9
10;5;0.7
101;5;0.7
11;5;6.2
111;5;5.0
112;5;1.2
12;5;15.4
121;5;2.7
123;5;0.6
124;5;0.0
125;5;9.3
126;5;0.6
127;5;2.0
128;5;0.1
129;5;0.1
CTOTALE;5;100.0
01;6;19.0
011;6;17.1
012;6;1.3
013;6;0.6
02;6;2.7
021;6;1.8
022;6;0.9
024;6;0.0
03;6;3.5
031;6;2.4
032;6;0.7
033;6;0.4
04;6;15.7
041;6;4.9
043;6;1.0
044;6;3.3
045;6;6.0
046;6;0.3
05;6;7.0
051;6;1.4
052;6;0.5
053;6;0.7
054;6;0.3
055;6;1.6
056;6;2.2
057;6;0.2
06;6;1.8
061;6;1.0
062;6;0.8
063;6;0.1
064;6;0.0
07;6;16.1
071;6;7.6
072;6;5.8
073;6;1.4
074;6;1.3
08;6;2.5
081;6;2.5
09;6;10.0
091;6;0.8
092;6;0.7
093;6;1.7
094;6;2.8
095;6;1.5
096;6;1.7
097;6;0.9
10;6;0.1
101;6;0.1
11;6;4.7
111;6;3.8
112;6;1.0
12;6;16.9
121;6;2.8
123;6;0.5
124;6;0.1
125;6;11.3
126;6;0.6
127;6;1.5
128;6;0.1
129;6;0.0
CTOTALE;6;100.0
01;7;20.7
011;7;18.9
012;7;1.3
013;7;0.5
02;7;2.5
021;7;1.9
022;7;0.6
024;7;0.0
03;7;2.6
031;7;1.8
032;7;0.5
033;7;0.3
04;7;19.6
041;7;6.3
043;7;0.7
044;7;4.6
045;7;7.9
046;7;0.1
05;7;7.2
051;7;1.1
052;7;0.3
053;7;0.9
054;7;0.3
055;7;0.7
056;7;3.9
057;7;0.1
06;7;2.5
061;7;1.4
062;7;0.8
063;7;0.2
064;7;0.0
07;7;9.7
071;7;4.0
072;7;4.0
073;7;0.9
074;7;0.7
08;7;2.6
081;7;2.6
09;7;7.9
091;7;0.6
092;7;0.4
093;7;1.5
094;7;2.0
095;7;1.9
096;7;0.8
097;7;0.6
10;7;0.1
101;7;0.1
11;7;3.7
111;7;3.3
112;7;0.5
12;7;20.9
121;7;3.1
123;7;0.3
124;7;1.0
125;7;13.4
126;7;0.6
127;7;2.3
128;7;0.2
129;7;0.0
CTOTALE;7;100.0
01;TOT;16.1
011;TOT;14.2
012;TOT;1.3
013;TOT;0.6
02;TOT;2.9
021;TOT;1.4
022;TOT;1.4
024;TOT;0.0
03;TOT;5.0
031;TOT;3.5
032;TOT;1.1
033;TOT;0.5
04;TOT;16.3
041;TOT;7.4
043;TOT;0.6
044;TOT;3.0
045;TOT;4.9
046;TOT;0.3
05;TOT;5.7
051;TOT;1.5
052;TOT;0.3
053;TOT;0.7
054;TOT;0.3
055;TOT;0.8
056;TOT;1.9
057;TOT;0.2
06;TOT;1.8
061;TOT;0.9
062;TOT;0.8
063;TOT;0.1
064;TOT;0.0
07;TOT;16.4
071;TOT;7.0
072;TOT;6.1
073;TOT;1.9
074;TOT;1.3
08;TOT;2.7
081;TOT;2.7
09;TOT;9.4
091;TOT;0.9
092;TOT;0.3
093;TOT;1.7
094;TOT;3.0
095;TOT;1.1
096;TOT;1.3
097;TOT;0.9
10;TOT;0.8
101;TOT;0.8
11;TOT;7.2
111;TOT;6.0
112;TOT;1.2
12;TOT;15.8
121;TOT;2.8
123;TOT;0.6
124;TOT;1.1
125;TOT;8.5
126;TOT;0.5
127;TOT;2.1
128;TOT;0.1
129;TOT;0.1
CTOTALE;TOT;100.0
