,2023-05,2023-04,2023-03,2023-02,2023-01,2022-12,2022-11,2022-10,2022-09,2022-08,2022-07,2022-06,2022-05,2022-04,2022-03,2022-02,2022-01,2021-12,2021-11,2021-10,2021-09,2021-08,2021-07,2021-06,2021-05,2021-04,2021-03
const,0.0,5.813909872357639,6.190454832125064,6.598922626494044,6.199805560558184,5.790613553507921,6.261877876319156,6.1954788511272145,5.678223856024955,5.947252826889665,6.026876920284458,6.008774298747319,5.54044658987592,5.25665156919443,4.911662423730798,4.041102455123179,3.3959467186002197,3.585258720976853,3.4989168038613707,3.513764889276392,2.909758793975181,2.7858171198456243,2.0023639134739915,2.1593400651686094,1.9436180900088496,1.688567868068155,1.2502248571590298
NENFANTS,0.0,0.1731391349239102,0.18823151081956946,0.13969437763740108,0.09761014691609837,0.09294174187030829,0.07557894263344689,0.06562108175643229,0.04310390045089407,0.020622824530191652,-0.041890966106243877,-0.07877526308375643,-0.04613521165134929,-0.05975500368730323,-0.13649578730752887,-0.060437079684691655,-0.0997160321705762,-0.061734173625374034,-0.09359270371717132,-0.13745668999174315,-0.09803232246577347,-0.03210097973457871,-0.16708522065269832,-0.06531059431804494,-0.07669486612658552,-0.09687184154270542,-0.03316808883890106
Moins de 30 ans,0.0,-0.3761736071030613,-0.4845496741704629,-0.51696797746415,-0.48959112073406796,-0.39430492022913244,-0.4998698494832561,-0.5344186482948781,-0.4621378002451052,-0.4350866211226152,-0.5398154614837909,-0.5694131315032441,-0.3605150753913149,-0.3836363829474242,-0.4399029608099093,-0.23640719133632876,-0.3838868076293403,-0.18519337402753577,-0.18106120392157704,-0.32939008648442025,-0.2570069644234989,-0.09623174754651663,-0.44871699163395934,-0.05200061852768674,-0.08499938490491254,-0.08581827628823843,-0.08381235445443888
De 30 à 44 ans,0.0,-0.23267589913094305,-0.29194269373146453,-0.30698686849774404,-0.3063319241645419,-0.19677653716214158,-0.27079723797805494,-0.28586673110555794,-0.22136141117185898,-0.19812279262996468,-0.2487421099147512,-0.2723419481045144,-0.1709537800008109,-0.18117895692111788,-0.2073057759117511,-0.10537040505861217,-0.1565695201356267,-0.07810581232912361,-0.06352366164383932,-0.12161833140445064,-0.10903543809696287,-0.022545666357974076,-0.16417064445945667,-0.008523932110345382,0.008450610076547196,0.028383747424686318,0.042836954737497615
De 60 à 74 ans,0.0,0.34199196036989093,0.5611040740513943,0.4904820697998255,0.3436218017353407,0.3669028619991016,0.4096147955038326,0.45997595839800975,0.42310065183948364,0.23439471933713357,0.19963132130196456,0.18141612305436278,0.13708680928487857,0.1022959574758529,0.06132042929138541,0.03304006440274629,0.11328934122153451,0.07259691410124773,-0.07776408875632285,-0.01498609017587571,-0.0030264748960798287,-0.0020887309518759604,0.08293234556966833,-0.13496621408629209,-0.20847129718109653,-0.16308216278920634,-0.05112076754592011
75 ans et plus,0.0,0.36983993809815585,0.8015875691323129,0.633930510208123,0.42787043723023876,0.48269159263627626,0.6586777237881587,0.792270457517225,0.8602886235820864,0.28193340174975984,0.30040089624438515,0.32924086584311285,0.3672493209690093,0.29649869828308467,0.21179671023489877,0.1574413911785746,0.4180930764898887,0.30895067308811386,-0.03878323773759142,0.11056586483903222,0.04969232199227526,-0.0054237234788736075,0.26532479461882114,-0.1816304948772996,-0.42171970751822196,-0.3229480676068567,-0.11711932466463254
Rural et petite ville,0.0,-0.1890887674009066,-0.3105428522092523,-0.07435075757079038,0.10768509716895963,0.18326992930642932,0.2538182366569228,0.2749251348570244,0.2823113244202504,0.28427636986987437,0.366488340805448,0.41078289563748926,0.30131242132783986,0.27379198451089426,0.39931514122161715,0.08989131629281999,0.07403537637555832,0.024304113663986087,0.142496069698467,0.09438683339917936,0.035283657276438535,-0.02353169085438511,0.07990682272774557,0.12414983127475082,0.17280513164292366,0.09988957917654104,0.005514338584347544
Grande ville,0.0,0.033300975751027834,0.1099115725051806,0.015014239979318084,-0.0538097591340599,-0.09421492608277922,-0.12623621007353028,-0.11005151766500429,-0.1416166820121787,-0.1201284123653703,-0.15325141922746177,-0.20336481355008756,-0.18292365885539613,-0.12804315816517428,-0.24046977723726087,-0.10361801472066211,-0.05978710688039414,-0.04416535177530882,-0.07275230133517786,-0.07605362828756485,-0.030797896420679274,-0.01583071822119592,-0.002130924425185198,-0.12280414206764373,-0.08397539793349551,-0.07045608658578825,0.00689108942128962
Pauvre,0.0,0.5066586804456499,0.6028999796011619,0.3052703418042426,0.09031935055918634,0.06069221355708977,0.1285620567785632,0.16354015733353117,0.18236515447671114,-0.09820287950252948,-0.2390240007463641,-0.3304275030953977,-0.33381362044406077,-0.08867328653558988,-0.26230523254517374,-0.10013594992365503,-0.20637322665965135,-0.18231382164765403,-0.2850724353870958,-0.26068795553401847,-0.19659532058958795,-0.06109810887347527,-0.23013042556897112,-0.05717491147259046,-0.04675356648143918,-0.19527381468227428,-0.04771302630107057
Riche,0.0,0.12821139567376408,0.17171091508231265,0.09498260630085131,-0.06324429241585316,0.13705117324114818,-0.009371482551976465,-0.005580175626040906,0.014243416331753661,0.18093603096784214,0.0654049543613474,-0.10713354513431514,-0.07483589383033945,-0.12107906047091728,-0.4049464372765131,-0.16856044370324733,-0.24409253167597916,-0.19679829876351307,-0.15201304191646198,-0.2711224042561767,-0.21389017357826884,-0.09334592723809473,-0.30912626922096215,-0.3571799580870547,-0.23784709731818524,-0.16730698649926135,-0.07308452137499269
Habite en couple,0.0,0.24069037468530155,0.26004975847894934,0.29599313244314057,0.31031650078073236,0.2582228618033144,0.22816888137566604,0.22838404448293398,0.08242920989045308,0.13461783316784304,0.14626668002057908,0.10758285305462431,-0.003664053366935649,-0.05167936247632151,-0.055566999619191024,-0.08076458434809546,-0.09323978391860192,-0.14036382144902484,-0.10776110542621585,-0.14289964498577662,-0.05134809656890207,-0.04128422236657163,-0.01829009047522834,-0.11220031235762482,-0.07981315767476392,-0.0827466596304987,-0.029103329847569102
Propriétaire,0.0,0.7504856024362913,0.8363706467726862,1.152935334085135,1.268714781005496,1.3354484990709494,1.4254658472306712,1.4949748232496374,1.381616048725584,1.5365419924731114,1.624358064137015,1.6001268409307237,1.3615832338113762,1.2733690786088683,1.2345291475098046,0.869252989124665,0.6849107792065345,0.6273202735864176,0.708304382028501,0.5846202240161751,0.43628661537362695,0.3675260853977347,0.33475997705878396,0.21360903146475635,0.2353368005677789,0.20610858344199545,0.10099560135322352
Chauffage électrique individuel,0.0,-0.09700499511807578,-0.29254677083896347,-0.5450133396215678,-0.8759790290601751,-0.7073781781288612,-0.8424331299389085,-1.030842465052809,-0.9870025896849948,-1.0767029036159204,-1.2148100947798075,-1.3484039359471383,-1.3860506459336883,-1.417977733573995,-1.2166946569207941,-1.0299655415036506,-1.0206584124152245,-1.0072059334662424,-1.0996596511277388,-1.011037885707726,-0.7226959305118068,-0.5828255395283519,-0.43891589067581993,-0.3213842781911521,-0.2657691911388349,-0.1036609996929489,-0.043845948099236295
Chauffage non-électrique,0.0,-0.43376779146249933,-0.670387113500814,-0.63234479000039,-0.6046545560849225,-0.5590887583170727,-0.6618598419540452,-0.768478570796859,-0.782615597981688,-0.7426749716469699,-0.8057444208983873,-0.8204926526408279,-0.9741495092277588,-0.9805878428347136,-0.5677488697415831,-0.6434894695748283,-0.6565143143294417,-0.7087590457677964,-0.6835072633894157,-0.5777148388687813,-0.4332613852880548,-0.3969204519023457,-0.1389808857517717,-0.07647171199621998,-0.002346048208096349,0.05228855162371291,-0.018147840329297803
Pavillonnaire,0.0,-0.010090711959113804,-0.020237190521086232,0.22185031179324988,0.3268561959235944,0.3350169969390586,0.46812642517852604,0.5261497041769564,0.42345866703158674,0.46777106715378225,0.6190055016324021,0.739625847114951,0.6314109319234814,0.7249323538288717,0.7987033086278725,0.49667418340637526,0.40228511357891766,0.4194155419593715,0.4967175294659548,0.44900680607611043,0.38159637151697734,0.3083749372431433,0.2729490012293506,0.35677910417757,0.2921046018105343,0.11766468764165267,0.04810876834145815
inflationMoyenne,6.0,6.9,6.7,7.3,7.0,6.7,7.1,7.1,6.2,6.6,6.8,6.5,5.8,5.4,5.1,4.2,3.3,3.4,3.4,3.2,2.7,2.4,1.5,1.9,1.8,1.6,1.4
